Mouse i.d.,age in months,mouse Strain,Tissue region,Sample Name,Dilution,7  Li   ,11  B   ,23  Na   ,24  Mg   ,27  Al   ,31  P   ,39  K   ,42  Ca   ,47  Ti   ,52  Cr   ,55  Mn   ,56  Fe   ,59  Co   ,60  Ni   ,63  Cu   ,66  Zn   ,78  Se   ,85  Rb   ,88  Sr   ,95  Mo   ,101  Ru   ,111  Cd   
172,22,(WT),Hippocampus,28B,0.333,0.102,0.934,5176.26,650.63,2.52,13119.53,17263.56,200.20,0.657,0.057,1.434,75.49,0.050,0.284,17.276,85.37,0.781,23.870,0.096,0.169,0.000,0.001
3119,5,(WT),Hippocampus,29B,0.294,-0.010,0.825,5207.88,777.81,6.84,15384.71,19761.53,454.54,1.037,0.159,1.959,70.13,0.044,1.337,18.505,93.16,1.144,28.962,0.183,0.046,-0.001,0.007
3120,5,(WT),Hippocampus,30B,0.438,-0.018,0.915,5141.84,733.18,12.01,14150.44,19086.69,261.69,0.826,0.315,1.989,68.91,0.044,3.242,17.609,134.46,0.929,29.057,0.133,-0.149,-0.001,0.008
3121,5,(WT),Hippocampus,31B,0.270,0.050,0.959,6713.03,951.71,6.98,18838.75,23535.94,330.08,1.162,0.062,2.350,82.34,0.050,0.283,23.008,109.30,1.337,35.377,0.146,0.193,-0.001,0.004
3139,5,(WT),Hippocampus,32B,0.474,-0.033,0.877,5063.37,773.29,20.52,14275.74,17512.35,646.56,1.073,0.495,2.103,77.53,0.056,6.172,26.092,413.29,0.651,22.723,0.405,-0.060,-0.002,0.027
3181,5,(WT),Hippocampus,33B,0.203,0.037,0.703,5426.98,797.76,5.80,15893.70,19856.68,210.88,0.954,0.103,2.091,70.68,0.042,0.440,17.931,103.78,1.041,25.199,0.098,0.382,0.000,0.003
3183,5,(WT),Hippocampus,34B,1.000,,,,,,,,,,,,,,,,,,,,,,
3184,5,(WT),Hippocampus,35B,0.460,0.068,1.021,5010.56,728.69,11.84,14449.80,19230.78,239.99,0.900,0.073,1.770,67.33,0.041,0.316,15.976,102.26,0.764,27.217,0.112,-0.113,0.000,0.004
3185,5,(WT),Hippocampus,36B,0.423,0.044,1.450,4565.26,639.27,4.18,14200.11,16668.85,313.03,1.051,0.224,2.767,71.17,0.044,0.478,14.873,151.90,0.786,23.429,0.167,-0.163,0.000,0.006
704,9,(WT) APP/PS1 ,Hippocampus,37B,0.358,0.002,0.599,4159.63,557.59,4.12,10944.93,14814.76,470.05,0.609,0.246,1.338,60.11,0.066,0.215,14.860,81.98,0.744,18.780,0.205,-0.069,0.000,0.004
706,9,(WT) APP/PS1 ,Hippocampus,38B,0.315,-0.032,1.122,4919.39,666.94,2.79,13647.98,17987.20,200.25,0.789,0.651,1.396,69.04,0.050,0.202,19.382,109.83,0.644,25.353,0.081,0.022,0.000,0.002
711,9,(WT) APP/PS1,Hippocampus,39B,0.356,0.188,1.016,5523.03,719.34,4.39,14333.58,18722.15,367.59,0.844,0.497,1.952,74.50,0.054,0.252,21.855,113.63,0.711,26.296,0.211,0.064,-0.001,0.006
712,9,(WT) APP/PS1,Hippocampus,40B,0.391,-0.041,0.802,5100.41,685.45,2.31,13892.03,17834.81,758.99,0.676,0.234,1.511,62.80,0.042,0.424,21.192,82.08,0.801,23.459,0.381,-0.022,-0.001,0.003
719,9,(WT) APP/PS1,Hippocampus,41B,0.301,0.091,0.798,5398.69,730.16,2.95,15017.29,19252.31,236.07,0.749,0.003,1.416,72.70,0.048,0.150,21.546,86.39,0.942,28.599,0.095,0.055,-0.001,0.001
634,9,(WT) APP/PS1,Hippocampus,42B,0.389,0.039,0.880,5092.17,723.71,4.00,14518.91,19678.57,284.71,0.843,0.201,1.367,74.26,0.056,1.745,17.922,101.73,0.932,26.005,0.099,-0.051,-0.001,0.002
636,9,(WT) APP/PS1,Hippocampus,43B,0.358,0.134,0.982,5394.30,717.77,7.18,14434.67,18532.11,388.01,0.718,0.317,1.897,73.72,0.066,0.223,24.897,95.13,0.732,28.793,0.153,-0.004,-0.001,0.005
675,9,(WT) APP/PS1,Hippocampus,44B,0.348,0.042,1.020,5489.75,767.87,1.99,16009.02,20479.23,282.36,0.864,0.257,1.589,73.00,0.046,0.500,19.257,89.25,0.934,29.266,0.107,0.072,-0.001,0.002
633,9,APP/PS1,Hippocampus,45B,0.348,0.064,0.540,4985.86,604.55,4.14,13267.95,16243.66,456.53,0.787,0.063,1.953,63.24,0.047,0.170,25.890,64.07,0.800,23.576,0.137,-0.060,-0.001,0.003
635,9,APP/PS1,Hippocampus,46B,0.194,0.013,0.609,4999.48,722.92,2.20,14284.62,17972.63,221.06,0.804,0.079,1.879,64.07,0.051,0.248,20.828,73.63,0.931,24.862,0.079,0.232,0.000,0.002
676,9,APP/PS1,Hippocampus,47B,0.301,0.094,0.726,5017.59,670.03,3.56,13933.43,18049.24,198.40,0.862,0.391,1.549,60.87,0.048,0.183,27.051,81.48,0.820,24.803,0.079,0.014,0.000,0.002
705,9,APP/PS1,Hippocampus,48B,0.174,0.067,0.718,4896.71,748.12,1.47,15105.91,18643.45,329.25,0.872,0.604,1.546,69.39,0.049,0.312,16.772,79.88,0.881,23.170,0.133,0.222,0.000,0.001
707,9,APP/PS1,Hippocampus,49B,0.269,0.086,0.610,4655.26,672.73,1.17,13910.02,18090.80,174.59,0.707,0.102,1.425,64.77,0.042,0.450,16.550,75.74,0.747,23.015,0.072,0.073,0.000,0.002
713,9,APP/PS1,Hippocampus,50B,0.387,0.123,0.760,5449.38,723.09,2.37,14320.90,19059.87,215.05,0.804,0.124,2.008,70.77,0.055,5.554,23.245,83.52,0.808,27.851,0.097,-0.010,-0.001,0.001
718,9,APP/PS1,Hippocampus,51B,0.578,0.054,0.985,5681.74,753.38,4.16,14481.24,20459.82,217.81,0.703,0.207,2.121,71.38,0.049,0.274,24.074,88.96,0.760,28.634,0.083,-0.192,0.000,0.003
226,5,NFL,Cerebellum,01C,0.141,0.008,0.816,5274.49,721.25,1.24,18713.88,17692.42,773.19,1.984,0.171,2.218,71.96,0.039,0.228,22.693,64.61,1.108,15.953,0.367,8.949,0.003,0.005
227,5,NFL,Cerebellum,02C,0.219,0.004,0.923,5619.64,779.39,3.20,17615.74,18979.95,263.84,1.606,0.058,2.428,81.77,0.043,0.140,23.026,61.25,1.255,17.713,0.081,4.122,0.003,0.002
228,5,NFL,Cerebellum,03C,0.161,-0.002,0.956,5383.56,857.43,2.02,23136.26,17764.26,7493.03,1.591,0.081,2.300,80.30,0.042,0.097,26.431,66.35,1.135,16.012,2.596,1.577,0.001,0.002
229,5,NFL,Cerebellum,04C,0.173,-0.009,0.854,5053.93,753.23,4.49,17887.53,18911.96,199.83,1.217,0.127,2.280,74.17,0.054,0.099,24.129,63.89,1.138,17.902,0.063,1.125,0.001,0.002
230,5,NFL,Cerebellum,05C,0.176,0.024,0.889,4982.89,729.53,1.57,16280.90,18222.91,183.35,1.132,0.047,2.171,74.08,0.040,0.098,21.866,61.05,1.031,17.381,0.057,0.826,0.001,0.003
232,5,NFL,Cerebellum,06C,0.154,-0.041,1.169,5177.99,774.26,1.50,20031.12,19129.80,360.18,1.278,0.083,2.296,78.07,0.041,0.111,24.351,61.58,1.278,17.225,0.142,0.704,0.001,0.003
