Mouse i.d.,age in months,mouse Strain,Tissue region,Sample Name,Dilution,7  Li   ,11  B   ,23  Na   ,24  Mg   ,27  Al   ,31  P   ,39  K   ,42  Ca   ,47  Ti   ,52  Cr   ,55  Mn   ,56  Fe   ,59  Co   ,60  Ni   ,63  Cu   ,66  Zn   ,78  Se   ,85  Rb   ,88  Sr   ,95  Mo   ,101  Ru   ,111  Cd   
15,22,NFL,Siatic nerve,19F,0.303,0.348,0.759,4507.92,483.89,6.52,8467.69,7098.83,1681.23,0.691,4.090,0.542,93.18,0.037,0.814,2.400,41.78,0.561,18.522,0.468,-0.154,0.001,0.005
161464,22,(WT),Siatic nerve,20F,0.444,0.055,1.724,5359.85,342.53,3.60,10709.68,7247.98,583.13,0.967,0.168,0.275,68.25,0.027,0.873,2.172,38.99,0.347,17.755,0.186,-0.369,0.003,0.007
161466,22,(WT),Siatic nerve,21F,0.460,-0.054,1.498,4531.91,506.28,9.97,9603.99,9390.65,519.08,0.812,1.880,0.455,45.33,0.021,1.034,2.344,43.32,0.591,22.752,0.214,-0.394,0.003,0.005
161468,22,(WT),Siatic nerve,22F,0.600,-0.017,2.639,6423.06,501.82,2.74,12542.74,10158.85,882.37,1.215,3.083,0.658,73.50,0.029,1.151,3.210,40.60,0.611,20.786,0.381,-0.575,0.003,0.004
161469,22,(WT),Siatic nerve,23F,0.103,-0.010,0.669,4721.28,331.78,2.09,12367.46,6855.38,366.67,0.730,1.210,0.206,27.29,0.012,0.145,1.069,14.68,0.368,15.011,0.145,-0.047,0.001,0.001
161470,22,(WT),Siatic nerve,24F,1.000,,,,,,,,,,,,,,,,,,,,,,
169,9,(WT),Siatic nerve,25F,0.162,-0.029,0.625,2792.50,228.76,2.32,6109.22,4702.49,179.80,0.373,0.103,0.151,19.57,0.009,0.127,28.342,19.97,0.231,13.176,0.111,-0.154,0.001,0.002
170,22,(WT),Siatic nerve,26F,0.071,-0.005,0.567,3828.06,890.29,1.10,32028.74,2972.12,42608.93,1.917,0.256,0.455,46.94,0.011,0.055,0.743,40.46,0.242,9.251,20.036,0.048,0.000,0.001
171,22,(WT),Siatic nerve,27F,0.220,0.014,0.717,5416.51,373.81,1.14,13723.79,8023.87,241.22,0.766,0.023,0.176,23.66,0.012,0.243,1.144,12.60,0.308,25.206,0.129,-0.215,0.001,0.002
172,22,(WT),Siatic nerve,28F,0.293,0.040,0.874,3589.08,242.79,3.39,7949.57,5294.21,599.61,0.547,0.141,0.176,20.08,0.017,0.221,1.011,20.11,0.294,14.861,0.308,-0.325,0.001,0.003
3119,5,(WT),Siatic nerve,29F,0.253,-0.005,0.767,7067.97,292.85,9.58,6855.23,5295.15,442.25,0.627,0.230,0.217,74.54,0.023,0.202,2.080,20.59,0.449,14.860,0.229,-0.198,0.001,0.002
3120,5,(WT),Siatic nerve,30F,0.420,-0.003,0.783,5088.94,318.57,12.64,9501.81,6356.64,264.31,1.045,0.128,0.303,43.58,0.020,0.961,1.766,18.37,0.432,18.396,0.166,-0.437,0.001,0.004
3121,5,(WT),Siatic nerve,31F,0.148,0.013,0.448,2945.46,262.72,5.25,7740.74,2897.62,5636.16,0.613,0.279,0.199,24.59,0.008,0.147,0.845,14.39,0.246,8.570,2.579,-0.132,0.000,0.002
3139,5,(WT),Siatic nerve,32F,0.294,0.016,0.661,4605.57,341.32,9.17,10944.76,6894.56,237.00,1.211,0.127,0.267,26.93,0.012,0.652,1.660,17.64,0.450,19.130,0.162,-0.274,0.001,0.002
3181,5,(WT),Siatic nerve,33F,0.274,0.089,0.818,4452.69,586.36,9.17,11740.84,10085.38,248.11,0.917,0.059,0.379,29.01,0.013,0.148,2.026,23.14,0.539,24.507,0.142,-0.256,0.001,0.003
3183,5,(WT),Siatic nerve,34F,1.000,,,,,,,,,,,,,,,,,,,,,,
3184,5,(WT),Siatic nerve,35F,0.716,-0.041,1.403,5093.00,392.78,19.83,11129.68,7629.55,416.54,1.940,0.500,0.425,42.33,0.022,2.276,2.379,35.29,0.577,20.200,0.251,-0.850,0.004,0.005
3185,5,(WT),Siatic nerve,36F,0.534,0.072,2.735,5447.51,353.11,20.90,10383.45,7428.30,680.82,1.648,0.204,5.234,50.23,0.380,12.139,5.866,38.42,0.541,20.780,0.557,-0.571,0.002,0.007
704,9,(WT) APP/PS1 ,Siatic nerve,37F,0.323,-0.062,0.995,3602.45,163.85,4.31,4589.70,3762.32,325.99,0.322,0.860,0.186,45.32,0.021,0.650,1.122,25.79,0.303,8.755,0.184,-0.383,0.002,0.004
706,9,(WT) APP/PS1 ,Siatic nerve,38F,0.485,-0.004,1.380,5037.24,478.27,4.32,10623.55,9349.24,266.29,0.676,0.890,0.265,43.55,0.018,0.565,2.016,25.46,0.497,28.218,0.147,-0.572,0.003,0.004
711,9,(WT) APP/PS1,Siatic nerve,39F,0.313,-0.104,1.120,5431.62,342.64,4.38,11415.92,7842.49,424.48,0.717,0.176,0.243,35.92,0.020,0.889,1.494,18.33,0.377,21.306,0.243,-0.344,0.001,0.003
712,9,(WT) APP/PS1,Siatic nerve,40F,0.368,-0.063,1.746,8381.60,416.25,12.03,12469.00,9243.01,519.67,0.795,2.549,0.297,122.46,0.031,0.713,2.435,35.01,0.797,24.814,0.304,-0.198,0.001,0.003
719,9,(WT) APP/PS1,Siatic nerve,41F,0.453,-0.024,0.953,5080.50,442.27,10.36,10422.70,8700.66,290.90,0.634,0.287,0.221,48.98,0.027,0.928,2.002,19.97,0.508,25.943,0.155,-0.533,0.002,0.003
634,9,(WT) APP/PS1,Siatic nerve,42F,0.286,0.027,0.663,4973.97,361.95,11.98,11303.89,7994.65,310.39,0.746,0.136,0.212,36.09,0.016,0.335,1.383,19.85,0.437,22.368,0.109,-0.319,0.001,0.003
636,9,(WT) APP/PS1,Siatic nerve,43F,0.474,0.010,1.017,5823.24,357.43,21.43,11564.76,8340.21,370.24,0.668,0.902,0.318,35.05,0.025,0.437,4.589,26.90,0.588,25.870,0.171,-0.553,0.003,0.010
675,9,(WT) APP/PS1,Siatic nerve,44F,0.391,-0.026,1.027,4973.95,304.55,4.53,10571.51,7141.31,180.80,0.622,0.341,0.146,53.63,0.027,0.483,1.272,16.63,0.377,19.873,0.098,-0.002,0.002,0.004
633,9,APP/PS1,Siatic nerve,45F,0.441,-0.045,0.851,4963.92,391.64,8.33,11093.99,8626.71,478.93,0.729,0.146,0.269,31.80,0.026,0.601,2.093,21.81,0.481,25.387,0.153,-0.528,0.002,0.003
635,9,APP/PS1,Siatic nerve,46F,0.589,-0.152,1.097,6662.08,323.98,16.79,10812.77,7946.76,217.65,0.601,0.172,0.204,43.63,0.019,1.449,1.853,28.73,0.641,22.922,0.130,-0.771,0.003,0.004
676,9,APP/PS1,Siatic nerve,47F,0.328,0.080,1.319,4861.41,314.51,4.62,10612.99,7502.31,196.94,0.649,0.334,0.181,43.62,0.016,0.190,1.350,15.88,0.353,19.956,0.114,-0.338,0.002,0.004
705,9,APP/PS1,Siatic nerve,48F,0.441,-0.059,1.188,4727.23,324.79,6.01,10353.29,7351.68,497.27,0.637,0.740,0.210,31.69,0.025,0.717,1.499,21.39,0.429,18.391,0.278,-0.529,0.002,0.003
707,9,APP/PS1,Siatic nerve,49F,1.800,-0.107,1.918,41622.61,454.15,7.88,14509.03,10975.37,274.85,0.730,0.389,0.333,81.69,0.022,0.684,1.843,19.48,0.718,25.699,0.255,-2.651,0.010,0.010
713,9,APP/PS1,Siatic nerve,50F,0.407,-0.030,1.716,7098.46,350.72,13.70,11227.55,8175.66,222.42,0.702,71.065,1.301,91.38,0.016,0.429,3.995,26.35,0.525,23.557,0.163,-0.448,0.001,0.005
718,9,APP/PS1,Siatic nerve,51F,0.236,-0.044,0.850,4799.37,263.25,2.71,6476.31,5317.32,197.55,0.519,2.071,0.212,104.75,0.013,0.147,1.442,15.89,0.416,15.366,0.115,-0.173,0.001,0.002
